country,TotalFundsPerCountry,TIME,GDP2013,GDP2014,GDP2015,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,GDP2021,GDP2022,GDP2023,GDP2024,GDPM2124,HLY2011,HLY2012,HLY2013,HLY2014,HLY2015,HLY2016,HLY2017,HLY2018,HLY2019,HLY2020,HLY2021,HLY2022,HLY1922,HLY2122
DE,1372633386.44,Germany,35550.0,36860.0,37770.0,38810.0,40300.0,41390.0,42540.0,41480.0,44190.0,47180.0,49520.0,50830.0,47930.0,58.2,57.6,57.4,56.5,66.4,66.4,66.0,65.8,66.3,65.7,65.6,61.1,64.675,63.349999999999994
FR,1080478602.9,France,32280.0,32620.0,33200.0,33530.0,34290.0,35080.0,36090.0,34280.0,36950.0,39010.0,41330.0,42630.0,39980.0,63.1,63.2,63.6,63.8,63.6,63.4,63.7,63.9,64.1,64.6,66.2,64.4,64.82499999999999,65.30000000000001
NL,947553428.84,Netherlands,39610.0,40240.0,41270.0,42290.0,43830.0,45690.0,47840.0,46810.0,50850.0,56140.0,59720.0,63030.0,57435.0,61.5,61.2,59.5,61.2,59.1,60.3,60.0,59.2,61.0,61.1,60.3,58.5,60.224999999999994,59.4
ES,865681624.58,Spain,22020.0,22380.0,23440.0,24190.0,25160.0,25950.0,26620.0,23850.0,26090.0,28750.0,30970.0,32590.0,29600.0,65.5,65.3,64.3,65.0,64.0,66.2,69.4,68.0,69.9,66.3,62.8,61.2,65.05,62.0
IT,721785485.77,Italy,26880.0,27120.0,27620.0,28360.0,29070.0,29690.0,30200.0,28100.0,31160.0,33860.0,36130.0,37180.0,34582.5,63.0,61.8,61.6,62.4,62.6,67.4,66.3,66.8,68.3,68.0,68.1,67.4,67.95,67.75
BE,712646302.82,Belgium,35360.0,36130.0,36860.0,37810.0,38980.0,40210.0,41730.0,40190.0,43680.0,48260.0,50610.0,51810.0,48590.0,63.5,64.6,63.9,64.1,64.2,63.7,63.7,63.4,62.4,63.8,64.6,63.7,63.625,64.15
NO,444111577.82,Norway,77920.0,73670.0,67390.0,64060.0,67520.0,70150.0,68270.0,60020.0,78670.0,103990.0,80890.0,80220.0,85942.5,75.1,71.3,70,71.1,70.4,69.9,70.9,70.4,69.8,68.6,:,67.4,68.6,67.4
SE,359584123.28,Sweden,45820.0,44930.0,46170.0,46890.0,47290.0,45910.0,46220.0,46250.0,51710.0,52410.0,51060.0,53020.0,52050.0,65.5,:,65.8,72.9,72.7,73.2,72.6,72.8,73.3,72.7,68.4,66.5,70.225,67.45
DK,295630694.34,Denmark,46240.0,47070.0,47900.0,49270.0,51060.0,51950.0,53040.0,53540.0,58970.0,64730.0,63290.0,66420.0,63352.5,61.8,61.4,60.5,60.9,59.1,60.3,59.7,60.9,58.9,58.0,56.6,55.9,57.35,56.25
AT,270518871.57,Austria,37890.0,38640.0,39640.0,40690.0,41760.0,43360.0,44570.0,42650.0,45380.0,49490.0,51830.0,52490.0,49797.5,59.8,61.4,59.9,57.7,58.0,57.0,57.1,56.9,57.3,58.7,61.8,60.9,59.675000000000004,61.349999999999994
PT,243667387.18,Portugal,16300.0,16620.0,17280.0,18000.0,18910.0,19840.0,20710.0,19360.0,20800.0,23300.0,25330.0,26700.0,24032.5,59.6,63.6,63,56.9,56.5,58.6,58.5,58.6,59.2,59.7,58.3,59.1,59.074999999999996,58.7
FI,239350730.71,Finland,37410.0,37690.0,38350.0,39250.0,40790.0,42040.0,43200.0,42740.0,44890.0,47890.0,48910.0,49170.0,47715.0,58.0,56.7,:,58.2,57.8,58.1,57.4,57.4,56.4,56.9,61.7,57.9,58.225,59.8
IE,200158894.43,Ireland,39650.0,43160.0,58040.0,58120.0,63990.0,68470.0,73210.0,75920.0,88220.0,100180.0,96290.0,99060.0,95937.5,67.2,67.2,66.9,66.9,67.2,68.5,68.6,69.4,69.6,66.2,67.2,66.0,67.25,66.6
PL,116121392.52,Poland,10260.0,10750.0,11390.0,11270.0,12360.0,13280.0,14190.0,14310.0,15770.0,17520.0,19980.0,22560.0,18957.5,61.1,61,61,61.3,61.6,62.9,62.0,62.4,62.5,62.3,62.6,62.4,62.45,62.5
CZ,105932976.87,Czechia,15280.0,15140.0,16230.0,17040.0,18700.0,20270.0,21740.0,20980.0,23430.0,26670.0,29180.0,29280.0,27140.0,62.9,63.2,63.3,64.1,63.0,63.3,61.4,62.7,62.0,61.6,62,61.8,61.849999999999994,61.9
SI,64699845.96,Slovenia,17500.0,18080.0,18660.0,19380.0,20630.0,21940.0,23050.0,22230.0,24680.0,26980.0,30160.0,31490.0,28327.5,53.9,56,58.5,58.7,58.1,58.3,55.0,55.5,60.9,65.1,65.4,66.7,64.525,66.05000000000001
LU,50669473.58,Luxembourg,90030.0,92760.0,95090.0,96230.0,97440.0,98870.0,100420.0,102190.0,113920.0,117100.0,121290.0,126910.0,119805.0,66.5,66.1,63.3,63.8,62.2,60.2,59.2,60.7,62.6,63.3,62,60.2,62.025000000000006,61.1
HU,40543527.57,Hungary,10350.0,10810.0,11520.0,11950.0,13080.0,14070.0,15200.0,14370.0,16090.0,17600.0,20630.0,21560.0,18970.0,58.4,59.8,59.5,59.9,59.1,59.8,60.2,61.1,61.7,62.5,62.5,62.6,62.324999999999996,62.55
RO,40427496.57,Romania,7150.0,7560.0,8090.0,8500.0,9510.0,10580.0,11590.0,11460.0,12660.0,14790.0,17010.0,18560.0,15755.0,57.5,57.6,58.4,59.0,59.2,59.4,58.7,59.4,60.2,59.9,57.8,59.0,59.224999999999994,58.4
TR,38945420.8,Türkiye,9450.0,9160.0,9930.0,9910.0,9470.0,8090.0,8220.0,7520.0,8200.0,10150.0,12080.0,,10143.333333333334,,,,,,,,,,,,,,
EE,34736384.53,Estonia,14520.0,15480.0,16000.0,16860.0,18480.0,20040.0,21490.0,20960.0,23650.0,27360.0,27960.0,28740.0,26927.5,56.1,55.1,55.5,55.2,55.0,56.8,56.0,53.9,55.8,57.6,56.5,59.3,57.3,57.9
CH,32530247.73,Switzerland,65730.0,66920.0,75460.0,74200.0,72810.0,72120.0,75110.0,75280.0,79140.0,89660.0,92760.0,96020.0,89395.0,65.5,68.2,60,58.6,59.4,59.4,60.6,60.5,60.6,61.5,61.4,59.1,60.65,60.25
CY,30266779.36,Cyprus,20940.0,20320.0,20810.0,21930.0,23230.0,24660.0,26110.0,24630.0,27850.0,31270.0,32720.0,34490.0,31582.5,61.3,63.7,64.7,66.0,63.3,68.2,65.2,62.2,62.5,62.9,65.7,66.0,64.275,65.85
LT,27708062.79,Lithuania,11780.0,12400.0,12860.0,13490.0,14870.0,16300.0,17520.0,17890.0,20180.0,23820.0,25700.0,27150.0,24212.5,59.5,59.1,59.2,59.7,56.5,57.8,58.1,57.7,57.5,56.8,57.6,60.3,58.05,58.95
LV,24963882.32,Latvia,10930.0,11430.0,12010.0,12500.0,13400.0,14620.0,15450.0,15370.0,17130.0,19140.0,20930.0,21610.0,19702.5,55.1,56.8,53,53.4,53.0,53.6,51.4,52.3,53.1,53.4,53.8,54.2,53.625,54.0
HR,22284877.08,Croatia,10530.0,10450.0,10810.0,11400.0,12160.0,12960.0,13990.0,12840.0,14890.0,17260.0,19800.0,21740.0,18422.5,60.7,63.1,59,59.3,56.1,57.9,57.6,57.5,57.4,58.5,58.6,60.3,58.7,59.45
RS,18577179.54,Serbia,5300.0,5190.0,5250.0,5410.0,5820.0,6400.0,6930.0,7110.0,8180.0,9530.0,11350.0,12510.0,10392.5,,,,,,,,,,,,,,
SK,17020715.82,Slovakia,13790.0,14130.0,14820.0,15030.0,15620.0,16580.0,17340.0,17270.0,18740.0,20170.0,22690.0,24000.0,21400.0,52.2,53.3,54.4,55.1,54.9,56.7,55.6,56.1,56.2,56.7,56.8,57.3,56.75,57.05
BG,15035329.55,Bulgaria,5870.0,6080.0,6560.0,7070.0,7720.0,8360.0,9270.0,9450.0,10970.0,13310.0,14690.0,16110.0,13770.0,64.0,63.9,64.5,64.0,63.2,65.7,64.5,65.8,66.3,65.6,63.3,66.7,65.475,65.0
IS,12463769.54,Iceland,38180.0,41920.0,48680.0,57100.0,64980.0,64310.0,62660.0,53190.0,60270.0,73740.0,76660.0,79980.0,72662.5,68.5,69.3,69.3,68.8,68.9,66.7,63.1,62.4,,,,,,
MT,7825181.77,Malta,19120.0,20620.0,23000.0,23900.0,26820.0,28240.0,28920.0,27880.0,32180.0,34340.0,37110.0,39350.0,35745.0,70.3,71.9,72.1,73.4,73.6,71.7,72.7,72.7,73.2,70.5,68.7,70.2,70.64999999999999,69.45
UA,4760945.41,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,1682740.5,Albania,3330.0,3470.0,3590.0,3770.0,4100.0,4540.0,4880.0,4710.0,5420.0,6500.0,,,5960.0,,,,,,,,,,,,,,
MK,1402858.0,North Macedonia,4240.0,4470.0,4740.0,5070.0,5290.0,5690.0,6000.0,5840.0,6440.0,7230.0,7980.0,,7216.666666666667,,,,,,,,,,,,,,
ME,552825.0,Montenegro,5410.0,5560.0,5870.0,6350.0,6910.0,7490.0,7960.0,6740.0,8000.0,9600.0,11000.0,,9533.333333333334,,,,,,,,,,,,,,
BA,379096.25,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,
