country,TotalFundsPerCountry,TIME,GDP2013,GDP2014,GDP2015,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,GDP2021,GDP2022,GDP2023,GDP2024,GDPM2124,HLY2011,HLY2012,HLY2013,HLY2014,HLY2015,HLY2016,HLY2017,HLY2018,HLY2019,HLY2020,HLY2021,HLY2022,HLY1922,HLY2122
DE,1372633386,Germany,35550,36860,37770,38810,40300,41390,42540,41480,44190,47180,49520,50830,47930,58.2,57.6,57.4,56.5,66.4,66.4,66,65.8,66.3,65.7,65.6,61.1,64.675,63.35
FR,1080478603,France,32280,32620,33200,33530,34290,35080,36090,34280,36950,39010,41330,42630,39980,63.1,63.2,63.6,63.8,63.6,63.4,63.7,63.9,64.1,64.6,66.2,64.4,64.825,65.3
NL,947553428.8,Netherlands,39610,40240,41270,42290,43830,45690,47840,46810,50850,56140,59720,63030,57435,61.5,61.2,59.5,61.2,59.1,60.3,60,59.2,61,61.1,60.3,58.5,60.225,59.4
ES,865681624.6,Spain,22020,22380,23440,24190,25160,25950,26620,23850,26090,28750,30970,32590,29600,65.5,65.3,64.3,65,64,66.2,69.4,68,69.9,66.3,62.8,61.2,65.05,62
IT,721785485.8,Italy,26880,27120,27620,28360,29070,29690,30200,28100,31160,33860,36130,37180,34582.5,63,61.8,61.6,62.4,62.6,67.4,66.3,66.8,68.3,68,68.1,67.4,67.95,67.75
BE,712646302.8,Belgium,35360,36130,36860,37810,38980,40210,41730,40190,43680,48260,50610,51810,48590,63.5,64.6,63.9,64.1,64.2,63.7,63.7,63.4,62.4,63.8,64.6,63.7,63.625,64.15
NO,444111577.8,Norway,77920,73670,67390,64060,67520,70150,68270,60020,78670,103990,80890,80220,85942.5,75.1,71.3,70,71.1,70.4,69.9,70.9,70.4,69.8,68.6,,67.4,68.6,67.4
SE,359584123.3,Sweden,45820,44930,46170,46890,47290,45910,46220,46250,51710,52410,51060,53020,52050,65.5,,65.8,72.9,72.7,73.2,72.6,72.8,73.3,72.7,68.4,66.5,70.225,67.45
DK,295630694.3,Denmark,46240,47070,47900,49270,51060,51950,53040,53540,58970,64730,63290,66420,63352.5,61.8,61.4,60.5,60.9,59.1,60.3,59.7,60.9,58.9,58,56.6,55.9,57.35,56.25
AT,270518871.6,Austria,37890,38640,39640,40690,41760,43360,44570,42650,45380,49490,51830,52490,49797.5,59.8,61.4,59.9,57.7,58,57,57.1,56.9,57.3,58.7,61.8,60.9,59.675,61.35
PT,243667387.2,Portugal,16300,16620,17280,18000,18910,19840,20710,19360,20800,23300,25330,26700,24032.5,59.6,63.6,63,56.9,56.5,58.6,58.5,58.6,59.2,59.7,58.3,59.1,59.075,58.7
FI,239350730.7,Finland,37410,37690,38350,39250,40790,42040,43200,42740,44890,47890,48910,49170,47715,58,56.7,,58.2,57.8,58.1,57.4,57.4,56.4,56.9,61.7,57.9,58.225,59.8
IE,200158894.4,Ireland,39650,43160,58040,58120,63990,68470,73210,75920,88220,100180,96290,99060,95937.5,67.2,67.2,66.9,66.9,67.2,68.5,68.6,69.4,69.6,66.2,67.2,66,67.25,66.6
